Linac Beam 
9.7515000001e+00 2.1226678787e+00 2.1227382704e+00 
9.7515000001e+00 2.1226678787e+00 2.1227382704e+00 
9.7550000001e+00 2.1226678787e+00 2.1227382704e+00 
9.9450000001e+00 2.1226678787e+00 2.1227382704e+00 
9.9450000001e+00 2.1226678787e+00 2.1227382704e+00 
9.9450000001e+00 2.1226678787e+00 2.1227382704e+00 
9.9950000001e+00 2.1226678787e+00 2.1227382704e+00 
1.0095000000e+01 2.1226678787e+00 2.1227382704e+00 
1.0195000000e+01 2.1226678787e+00 2.1227382704e+00 
1.0295000000e+01 2.1226678787e+00 2.1227382704e+00 
1.0395000000e+01 2.1226678787e+00 2.1227382704e+00 
1.0495000000e+01 2.1226678787e+00 2.1227382704e+00 
1.0595000000e+01 2.1226678787e+00 2.1227382704e+00 
1.0695000000e+01 2.1226678787e+00 2.1227382704e+00 
1.0695000000e+01 2.1226678787e+00 2.1227382704e+00 
1.0871140000e+01 2.1226678787e+00 2.1227382704e+00 
1.0871140000e+01 2.1226678787e+00 2.1227382704e+00 
1.0884720247e+01 2.1226678787e+00 2.1227382704e+00 
1.0898300494e+01 2.1226678787e+00 2.1227382704e+00 
1.0911880741e+01 2.1226678787e+00 2.1227382704e+00 
1.0925460987e+01 2.1226678787e+00 2.1227382704e+00 
1.0939041234e+01 2.1226678787e+00 2.1227382704e+00 
1.0952621481e+01 2.1226678787e+00 2.1227382704e+00 
1.0966201728e+01 2.1226678787e+00 2.1227382704e+00 
1.0979781975e+01 2.1226678787e+00 2.1227382704e+00 
1.0993362222e+01 2.1226678787e+00 2.1227382704e+00 
1.1006942468e+01 2.1226678787e+00 2.1227382704e+00 
1.1020522715e+01 2.1226678787e+00 2.1227382704e+00 
1.1034102962e+01 2.1226678787e+00 2.1227382704e+00 
1.1047683209e+01 2.1226678787e+00 2.1227382704e+00 
1.1061263456e+01 2.1226678787e+00 2.1227382704e+00 
1.1074843703e+01 2.1226678787e+00 2.1227382704e+00 
1.1088423949e+01 2.1226678787e+00 2.1227382704e+00 
1.1102004196e+01 2.1226678787e+00 2.1227382704e+00 
1.1115584443e+01 2.1226678787e+00 2.1227382704e+00 
1.1129164690e+01 2.1226678787e+00 2.1227382704e+00 
1.1142744937e+01 2.1226678787e+00 2.1227382704e+00 
1.1156325183e+01 2.1226678787e+00 2.1227382704e+00 
1.1169905430e+01 2.1226678787e+00 2.1227382704e+00 
1.1171140000e+01 2.1226678787e+00 2.1227382704e+00 
1.1251740000e+01 2.1226678787e+00 2.1227382704e+00 
1.1264055271e+01 2.1226858785e+00 2.1227563083e+00 
1.1276370541e+01 2.1226158775e+00 2.1226864972e+00 
1.1288685812e+01 2.1214608449e+00 2.1215321264e+00 
1.1301001082e+01 2.1133936447e+00 2.1134648170e+00 
1.1313316353e+01 2.0867999930e+00 2.0868570952e+00 
1.1325631623e+01 2.0625895753e+00 2.0626012265e+00 
1.1337946894e+01 2.0754873445e+00 2.0754430431e+00 
1.1350262164e+01 2.1165504151e+00 2.1164725030e+00 
1.1362577435e+01 2.1438704903e+00 2.1437886925e+00 
1.1374892705e+01 2.1493393065e+00 2.1492596522e+00 
1.1387207975e+01 2.1482402816e+00 2.1481577507e+00 
1.1399523246e+01 2.1534872965e+00 2.1533879174e+00 
1.1411838516e+01 2.1917121872e+00 2.1915845731e+00 
1.1424153787e+01 2.2574493551e+00 2.2573132863e+00 
1.1436469057e+01 2.3139754115e+00 2.3138584409e+00 
1.1448784328e+01 2.3343887683e+00 2.3342950139e+00 
1.1461099598e+01 2.3344546376e+00 2.3343688637e+00 
1.1473414869e+01 2.3333094981e+00 2.3332248848e+00 
1.1485730139e+01 2.3329797276e+00 2.3328951870e+00 
1.1498045410e+01 2.3329168496e+00 2.3328322950e+00 
1.1501740000e+01 2.3329110940e+00 2.3328265360e+00 
1.1556940000e+01 2.3329110940e+00 2.3328265360e+00 
1.1570517586e+01 2.3329110940e+00 2.3328265360e+00 
1.1584095172e+01 2.3329110940e+00 2.3328265360e+00 
1.1597672758e+01 2.3329110940e+00 2.3328265360e+00 
1.1611250344e+01 2.3329110940e+00 2.3328265360e+00 
1.1624827930e+01 2.3329110940e+00 2.3328265360e+00 
1.1638405516e+01 2.3329110940e+00 2.3328265360e+00 
1.1651983102e+01 2.3329110940e+00 2.3328265360e+00 
1.1665560688e+01 2.3329110940e+00 2.3328265360e+00 
1.1679138274e+01 2.3329110940e+00 2.3328265360e+00 
1.1692715860e+01 2.3329110940e+00 2.3328265360e+00 
1.1706293447e+01 2.3329110940e+00 2.3328265360e+00 
1.1719871033e+01 2.3329110940e+00 2.3328265360e+00 
1.1733448619e+01 2.3329110940e+00 2.3328265360e+00 
1.1747026205e+01 2.3329110940e+00 2.3328265360e+00 
1.1760603791e+01 2.3329110940e+00 2.3328265360e+00 
1.1774181377e+01 2.3329110940e+00 2.3328265360e+00 
1.1787758963e+01 2.3329110940e+00 2.3328265360e+00 
1.1801336549e+01 2.3329110940e+00 2.3328265360e+00 
1.1814914135e+01 2.3329110940e+00 2.3328265360e+00 
1.1828491721e+01 2.3329110940e+00 2.3328265360e+00 
1.1842069307e+01 2.3329110940e+00 2.3328265360e+00 
