ELE# 1 : 0.25 m
-6.623780e-01 +1.877576e-01 -3.080992e-04 +2.539469e-05 +6.113374e-09 -5.430815e-08 
-4.967197e+00 -1.017107e-01 -1.766637e-03 +1.458518e-04 -4.254432e-07 -7.673957e-07 
+1.460414e-04 +4.025314e-05 -3.160098e+00 +4.142489e-01 -3.799174e-04 -2.114750e-04 
+7.042442e-05 +1.888821e-05 +6.602527e+00 -1.181954e+00 +1.203313e-03 +1.277844e-03 
-2.461190e-08 -7.463582e-09 +1.509801e-04 -3.791777e-05 +7.687454e-01 +1.065473e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 34 : 1.3 m
-6.623780e-01 +1.877576e-01 -3.080992e-04 +2.539469e-05 +6.113374e-09 -5.430815e-08 
-4.967197e+00 -1.017107e-01 -1.766637e-03 +1.458518e-04 -4.254432e-07 -7.673957e-07 
+1.460414e-04 +4.025314e-05 -3.160098e+00 +4.142489e-01 -3.799174e-04 -2.114750e-04 
+7.042442e-05 +1.888821e-05 +6.602527e+00 -1.181954e+00 +1.203313e-03 +1.277844e-03 
-2.461190e-08 -7.463582e-09 +1.509801e-04 -3.791777e-05 +7.687454e-01 +1.065473e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 35 : 1.335 m
-8.362299e-01 +1.841977e-01 -3.699315e-04 +3.049950e-05 -8.777138e-09 -8.116700e-08 
-4.967197e+00 -1.017107e-01 -1.766637e-03 +1.458518e-04 -4.254432e-07 -7.673957e-07 
+1.485063e-04 +4.091423e-05 -2.929009e+00 +3.728805e-01 -3.378015e-04 -1.667505e-04 
+7.042442e-05 +1.888821e-05 +6.602527e+00 -1.181954e+00 +1.203313e-03 +1.277844e-03 
-2.740526e-08 -8.324869e-09 +1.350900e-04 -3.663298e-05 +7.419525e-01 +1.073662e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 36 : 1.335 m
-8.362299e-01 +1.841977e-01 -3.699315e-04 +3.049950e-05 -8.777138e-09 -8.116700e-08 
-4.967197e+00 -1.017107e-01 -1.766637e-03 +1.458518e-04 -4.254432e-07 -7.673957e-07 
+1.485063e-04 +4.091423e-05 -2.929009e+00 +3.728805e-01 -3.378015e-04 -1.667505e-04 
+7.042442e-05 +1.888821e-05 +6.602527e+00 -1.181954e+00 +1.203313e-03 +1.277844e-03 
-2.740526e-08 -8.324869e-09 +1.350900e-04 -3.663298e-05 +7.419525e-01 +1.073662e+00 
-8.017158e-08 -2.471953e-08 -4.560572e-04 +3.687426e-05 -7.689750e-01 +2.350289e-01 
ELE# 37 : 1.37 m
-1.010082e+00 +1.806378e-01 -4.317638e-04 +3.560432e-05 -2.366765e-08 -1.080258e-07 
-4.967197e+00 -1.017107e-01 -1.766637e-03 +1.458518e-04 -4.254432e-07 -7.673957e-07 
+1.509711e-04 +4.157531e-05 -2.697921e+00 +3.315121e-01 -2.956855e-04 -1.220260e-04 
+7.042442e-05 +1.888821e-05 +6.602527e+00 -1.181954e+00 +1.203313e-03 +1.277844e-03 
