Exx' Eyy' Et Ezz' 
2.6950000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.7015000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.7015000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.7775000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.7775000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.8015000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.8265000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.8451000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.8451000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
2.8451000000e+00 2.0999996329e-01 2.1000060895e-01 2.1000027045e-01 3.3999993889e-01 
